,AnimeName,ClusterType
2041,Galaxy Angel S,3
2042,Galaxy Angel Specials,3
2043,Galaxy Angel Z,1
2044,Galaxy Angel Z Special,1
2045,Galerians: Rion,3
2046,Galilei Donna,0
2047,Gall Force 1: Eternal Story,3
2048,Gall Force 2: Destruction,3
2049,Gall Force 3: Stardust War,3
2050,Gall Force: Chikyuu Shou,1
2051,Gall Force: New Era,1
2052,Gallery Fake,3
2053,Galo Sengen,2
2054,Gamba no Bouken,0
2055,Gambo,3
2056,Ganbare Genki,3
2057,Ganbare Goemon,3
2058,Ganbare Gonbe,3
2059,Ganbare! Kickers,3
2060,Ganbarist! Shun,3
2061,Gangsta.,0
2062,Gangsta. Recap,0
2063,Gankutsuou,3
2064,Ganso Tensai Bakabon,3
2065,Gantz,0
2066,Gantz 2nd Stage,0
2067,Garakuta-doori no Stain,3
2068,Garden,0
2069,Garo: Guren no Tsuki,0
2070,Garo: Honoo no Kokuin,0
2071,Garo: Honoo no Kokuin - Home,0
2072,Gasaraki,3
2073,Gatchaman Crowds,0
2074,Gatchaman Crowds Insight,0
2075,Gatchaman Crowds Insight: Inbound,0
2076,Gatchaman Crowds: Embrace,0
2077,Gate Keepers,1
2078,Gate Keepers 21,3
2079,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",0
2080,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",0
2081,Gaza: Changing the World,3
2082,Gear Fighter Dendoh,1
2083,Gedo Senki,3
2084,Gegege no Kitarou (1968),2
2085,Gegege no Kitarou (1985),3
2086,Gegege no Kitarou (1996),0
2087,Gegege no Kitarou (2007),1
2088,Gegege no Kitarou: Nippon Bakuretsu,2
2089,Geisters: Fractions of the Earth,3
2090,Gekiganger 3: The Movie,3
2091,Gekitou! Crush Gear Turbo,2
2092,Gekka Bijin,3
2093,Gekkan Shoujo Nozaki-kun,0
2094,Gekkan Shoujo Nozaki-kun Specials,0
2095,Gekkou Shokudou,3
2096,Genei Toushi Bastof Lemon,1
2097,Genei wo Kakeru Taiyou,0
2098,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,0
2099,Generator Gawl,3
2100,Geneshaft,3
2101,"Genesis Climber Mospeada: Love, Live, Alive",3
2102,Genius Party,3
2103,Genius Party Beyond,3
2104,Genji Monogatari,3
2105,Genji Monogatari Sennenki,3
2106,Genkaku Cool na Sensei ga Aheboteochi!,0
2107,Genki Bakuhatsu Ganbaruger,2
2108,Genma Taisen,3
2109,Genmu Senki Leda,3
2110,Genmukan,1
2111,Genocyber,3
2112,Genshi Shounen Ryuu,3
2113,Genshiken,3
2114,Genshiken 2,3
2115,Genshiken Nidaime,0
2116,Genshiken Nidaime OVA,0
2117,Genshiken Nidaime Specials,0
2118,Genshiken OVA,3
2119,Gensoumaden Saiyuuki,3
2120,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,3
2121,Gensoumaden Saiyuuki OVA,3
2122,Gensoumaden Saiyuuki: Kibou no Zaika,3
2123,Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,1
2124,Geobreeders: File-X Chibi Neko Dakkan,1
2125,Geragera Boes Monogatari,3
2126,Get Ride! AMDriver,1
2127,GetBackers,3
2128,Getsumen To Heiki Mina,0
2129,Getsumen To Heiki Mina Specials,0
2130,Getter Robo,1
2131,Getter Robo (Movie),0
2132,Getter Robo G,0
2133,Getter Robo Go,0
2134,Ghibli ga Ippai Special Short Short,3
2135,Ghiblies,3
2136,Ghost Hunt,3
2137,Ghost Sweeper GS Mikami,3
2138,Ghost in the Shell,3
2139,Ghost in the Shell (2015),0
2140,Ghost in the Shell 2.0,3
2141,Ghost in the Shell 2: Innocence,3
2142,Ghost in the Shell Arise Episode: [.jp],0
2143,Ghost in the Shell: Arise - Alternative Architecture,0
2144,Ghost in the Shell: Arise - Another Mission,0
2145,Ghost in the Shell: Arise - Border:1 Ghost Pain,0
2146,Ghost in the Shell: Arise - Border:2 Ghost Whispers,0
2147,Ghost in the Shell: Arise - Border:3 Ghost Tears,0
2148,Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,0
2149,Ghost in the Shell: Arise - Logicoma Specials,0
2150,Ghost in the Shell: Nyuumon Arise,0
2151,Ghost in the Shell: Stand Alone Complex,3
2152,Ghost in the Shell: Stand Alone Complex - Solid State Society,3
2153,Ghost in the Shell: Stand Alone Complex - Solid State Society - Uchikoma no Hibi,3
2154,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,0
2155,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D - Tachikoma no Hibi,0
2156,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi,3
2157,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),0
2158,Ghost in the Shell: Stand Alone Complex - Tachikoma no Hibi Fan Disc,0
2159,Ghost in the Shell: Stand Alone Complex - The Laughing Man,3
2160,Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikoma no Hibi,0
2161,Ghost in the Shell: Stand Alone Complex 2nd GIG,3
2162,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,3
2163,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma no Hibi,0
2164,Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,3
2165,Ghost in the Shell: The New Movie Virtual Reality Diver,0
2166,Giant Gorg,2
2167,Giant Killing,0
2168,Giant Robo Gaiden Ginrei,1
2169,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,3
2170,Gibo,3
2171,Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,1
2172,Gibomai,1
2173,Gift: Eternal Rainbow,1
2174,Gift: Eternal Rainbow Special,1
2175,Gifuu Doudou!!: Kanetsugu to Keiji,0
2176,Gilgamesh,3
2177,Gin no Saji,0
2178,Gin no Saji 2nd Season,0
2179,Gin'iro no Olynsis: Tokito,1
2180,Ginban Kaleidoscope,3
2181,Ginga Densetsu Weed,3
2182,Ginga Eiyuu Densetsu,3
2183,Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,3
2184,Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,3
2185,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",3
2186,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,3
2187,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,3
2188,Ginga Hyouryuu Vifam,3
2189,Ginga Kikoutai Majestic Prince,0
2190,Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa,0
2191,Ginga Nagareboshi Gin,3
2192,Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,3
2193,Ginga Ojousama Densetsu Yuna: Shin'en no Fairy,3
2194,Ginga Patrol PJ,1
2195,Ginga Sengoku Gunyuuden Rai,0
2196,Ginga Senpuu Braiger,3
2197,Ginga Tansa 2100-nen: Border Planet,0
2198,Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,3
2199,Ginga Tetsudou 999,3
2200,Ginga Tetsudou 999 (Movie),3
2201,Ginga Tetsudou 999: Eien no Tabibito Emeraldas,3
2202,Ginga Tetsudou 999: Eternal Fantasy,3
2203,Ginga Tetsudou 999: Glass no Clair,3
2204,Ginga Tetsudou 999: Hoshizora wa Time Machine,1
2205,Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi,1
2206,Ginga Tetsudou 999: Kimi wa Senshi no You ni Ikirareru ka?,3
2207,Ginga Tetsudou Monogatari,0
2208,Ginga Tetsudou Monogatari: Eien e no Bunkiten,0
2209,Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,1
2210,Ginga Tetsudou no Yoru,3
2211,Ginga e Kickoff!!,0
2212,Ginga e Kickoff!!: Natsuyasumi Special,2
2213,Ginga no Uo Ursa Minor Blue,3
2214,Gingitsune,0
2215,Giniro no Kami no Agito,3
2216,Ginsoukikou Ordian,2
2217,Gintama,0
2218,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,0
2219,Gintama Movie: Shinyaku Benizakura-hen,0
2220,Gintama x Mameshiba,0
2222,Gintama: Enchousen,0
2223,Gintama: Dai Hanseikai,0
2224,Gintama: Jump Festa 2014 Special,0
2225,Gintama: Jump Festa 2015 Special,0
2226,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,0
2227,Gintama: Shinyaku Benizakura-hen,0
2228,Gintama: Shiroyasha Koutan,0
2229,Gintama: Yorinuki Gintama-san on Theater 2D,0
2230,Gintama°,0
2231,Gintama°: Aizome Kaori-hen,0
2232,Ginyuu Mokushiroku Meine Liebe,3
2233,Ginyuu Mokushiroku Meine Liebe Wieder,3
2234,Giovanni no Shima,0
2235,Girlfriend (Kari),0
2236,Girls Bravo: First Season,1
2237,Girls Bravo: Second Season,1
2238,Girls und Panzer,0
2239,Girls und Panzer Heartful Tank Disc Picture Drama,0
2240,Girls und Panzer Heartful Tank Disc: Fushou - Akiyama Yukari no Sensha Kouza,0
2241,Girls und Panzer Specials,0
2242,Girls und Panzer der Film,0
2243,Girls und Panzer der Film: Arisu War!,0
2244,Girls und Panzer der Film: Fushou - Akiyama Yukari no Sensha Kouza,0
2245,Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza,0
2246,Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,0
2247,Girls und Panzer: Kore ga Hontou no Anzio-sen Desu! - Fushou - Akiyama Yukari no Sensha Kouza,0
2248,Girls und Panzer: Nihon Senshadou Renmei News,0
2249,Girls und Panzer: Shoukai Shimasu!,0
2250,Gitai Saimin,2
2251,Glass no Hana to Kowasu Sekai,0
2252,Glass no Kamen,3
2253,Glass no Kamen (2005),3
2254,Glass no Kamen: Sen no Kamen wo Motsu Shoujo,3
2255,Glass no Kantai: La Legende du Vent de l'Univers,3
2256,Glass no Kantai: La Legende du Vent de l'Univers Specials,1
2257,Glass no Usagi,1
2258,Glasslip,0
2259,Gloria: Kindan no Ketsuzoku,3
2260,Go! Go! 575,1
2261,"Go! Go! 575: Meippai ni, Hajiketeru?",1
2262,Go! Go! Ackman,3
2263,Go! Go! Itsutsugo Land,0
2264,Go! Go! Kadendanshi 2nd Season,0
2265,Go! Princess Precure,0
2266,Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,3
2267,Go-Q-Choji Ikkiman,2
2268,Goal FH: Field Hunter,3
2269,Gochuumon wa Usagi Desu ka?,0
2270,Gochuumon wa Usagi Desu ka??,0
2271,God Eater,0
2272,God Eater Prologue,0
2273,God Mazinger,2
2274,Goddamn,0
2275,Gogo no Kouchou: Junai Mellow yori,1
2276,Gokiburi-tachi no Tasogare,2
2277,Gokicha!!,0
2278,Gokinjo Monogatari,3
2279,Gokinjo Monogatari the Movie,3
2280,Goku Sayonara Zetsubou Sensei,3
2281,Gokudou-kun Manyuuki,3
2282,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,0
2283,Gokujo.: Souda Onsen ni Ikou!!,1
2284,Gokujou Seitokai,3
2285,Gokujou!! Mecha Mote Iinchou,1
2286,Gokujou!! Mecha Mote Iinchou Second Collection,1
2287,Gokukoku no Brynhildr,0
2288,Gokukoku no Brynhildr Special,0
2289,Gokusen,3
2290,Gokuu no Daibouken,2
2291,Golden Batman,2
2292,Golden Boy,3
2293,Golden Time,0
2294,Golgo 13,3
2295,Golgo 13 (TV),3
2296,Golgo 13: Queen Bee,3
2297,Gon,2
2298,Gondora,3
2299,Good Morning,3
2300,Good Morning Althea,1
2301,Good Morning Call,3
2302,Gosenzo San'e,2
2303,Gosenzo-sama Banbanzai!,3
2304,Goshuushou-sama Ninomiya-kun,1
2305,Gosick,0
2306,Gosick Recap,0
2307,Gotou ni Naritai.,3
2308,Goulart Knights: Evoked the Beginning Black,3
2309,Goulart Knights: Evoked the Beginning White,3
2310,Gozonji! Gekkou Kamen-kun,2
2311,Grander Musashi RV,3
2312,Grappler Baki,2
2313,Grappler Baki (TV),2
2314,Grappler Baki: Saidai Tournament-hen,2
2315,Grasshopper Monogatari,3
2316,Gravitation,3
2317,Gravitation: Lyrics of Love,3
2318,Great Mazinger,0
2319,Great Mazinger tai Getter Robo,1
2320,Great Mazinger tai Getter Robo G: Kuuchuu Dai-Gekitotsu,1
2321,Great Teacher Onizuka,0
2322,Green Green,1
2323,Green Green OVA,1
2324,Green Green Specials,1
2325,Green Green Thirteen: Erolutions,1
2326,Green Legend Ran,3
2327,Gregorio,3
2328,Gregory Horror Show,2
2329,Gregory Horror Show: The Bloody Karte,3
2330,Gregory Horror Show: The Last Train,3
2331,Gregory Horror Show: The Second Guest,3
2332,Grenadier: Hohoemi no Senshi,1
2333,Grenadier: Hohoemi no Senshi Specials,1
2334,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,0
2335,Grey: Digital Target,3
2336,Grimm Masterpiece Theater,3
2337,Grimm Masterpiece Theater II,3
2338,Grisaia no Kajitsu,0
2339,Grisaia no Kajitsu Specials,0
2340,Grisaia no Meikyuu Special,0
2341,Grisaia no Meikyuu: Caprice no Mayu 0,0
2342,Grisaia no Rakuen,0
2343,Grisaia no Rakuen Specials,0
2344,Groove Adventure Rave,0
2345,Grope: Yami no naka no Kotoritachi,2
2346,Growlanser IV: Wayfarer of the Time,1
2347,Gu-Gu Ganmo,1
2348,Guardian Hearts,1
2349,Guardian Hearts-Power UP!,1
2350,Gugure! Kokkuri-san,0
2351,Gugure! Kokkuri-san Specials,0
2352,Guilty Crown,0
2353,Guilty Crown Kiseki: Reassortment,0
2354,Guilty Crown: 4-koma Gekijou,0
2355,Guilty Crown: Lost Christmas,0
2356,Guin Saga,0
2357,Guitar wo Motta Shounen: Kikaider vs. Inazuman,1
2358,Gulliver Funtouki,3
2359,Gulliver no Uchuu Ryokou,0
2360,Gun Frontier,3
2361,Gun x Sword,1
2362,Gun x Sword-san,2
2363,Gun-dou Musashi,1
2364,Gundam Build Fighters,0
2365,Gundam Build Fighters Specials,2
2366,Gundam Build Fighters Try,0
2367,Gundam Build Fighters Try: Island Wars,0
2368,Gundam Evolve,0
2369,Gundam: G no Reconguista,0
2370,Gundam: G no Reconguista - From the Past to the Future,2
2371,Gundam: Mission to the Rise,3
2372,Gundress,0
2373,Gungrave,3
2374,Gunnm,3
2375,Gunnm 3D Special,0
2376,Gunparade March: Arata Naru Kougunka,1
2377,Gunparade Orchestra,1
2378,Gunslinger Girl,3
2379,Gunslinger Girl: Il Teatrino,3
2380,Gunslinger Girl: Il Teatrino OVA,1
2381,Gunslinger Stratos,0
2382,Gunslinger Stratos: The Animation,0
2383,Gunslinger Stratos: The Animation - Bunki/Futatsu no Mirai,0
2384,Gunslinger Stratos: The Animation - Kikan/Kaze no Yukue,0
2385,Gunsmith Cats,3
2386,Guren,1
2387,Guskou Budori no Denki,3
2388,Guskou Budori no Denki (2012),3
2389,Guy: Youma Kakusei,1
2390,Gyakkyou Burai Kaiji: Hakairoku-hen,0
2391,Gyakkyou Burai Kaiji: Ultimate Survivor,0
2392,Gyakuten Majo Saiban: Chijo na Majo ni Sabakarechau The Animation,0
2393,Gyakuten Saiban 6 Prologue,0
2394,"Gyakuten Saiban: Sono Shinjitsu, Igi Ari!",0
2395,Gyo,0
2396,H. P. Lovecraft's The Dunwich Horror and Other Stories,0
2397,H2,0
2398,H2O: Footprints in the Sand,1
2399,HHH Triple Ecchi,0
2400,HORIZON feat. Hatsune Miku,0
2401,Haai Step Jun,2
2402,Hachimitsu to Clover,3
2403,Hachimitsu to Clover II,3
2404,Hachimitsu to Clover Specials,3
2405,Hacka Doll,0
2406,Hacka Doll The Animation,0
2407,Hadashi no Gen,3
2408,Hadashi no Gen 2,3
2409,Hagure Yuusha no Aesthetica,0
2410,Hagure Yuusha no Aesthetica: Hajirai Ippai,1
2411,Haguregumo,3
2412,Haha Sange,0
2413,Haha wo Tazunete Sanzenri,3
2414,Haha wo Tazunete Sanzenri (Movie),0
2415,Hai to Gensou no Grimgar,0
2416,Hai to Gensou no Grimgar Special,0
2417,Haibane Renmei,3
2418,Haikara-san ga Tooru,3
2419,Haikyuu!!,0
2420,Haikyuu!! Movie 1: Owari to Hajimari,0
2421,Haikyuu!! Movie 2: Shousha to Haisha,0
2422,Haikyuu!! OVA,0
2423,Haikyuu!! Quest Picture Drama,1
2424,Haikyuu!! Second Season,0
2425,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,0
2426,Hairy Tale,3
2427,Haitai Nanafa,0
2428,Haitai Nanafa 2nd Season,0
2429,Haitoku no Shoujo,3
2430,Haitokuzuma,1
2431,Haiyore! Nyaruko-san,1
2432,Haiyore! Nyaruko-san F,0
2433,Haiyore! Nyaruko-san W,0
2434,Haiyore! Nyaruko-san W OVA,0
2435,Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,1
2436,Haiyoru! Nyaruani,1
2437,Haiyoru! Nyaruani: Remember My Love(craft-sensei),0
2438,Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special,0
2439,Haja Taisei Dangaiou,3
2440,Hajimari no Boukensha-tachi: Legend of Crystania,0
2441,Hajime no Ippo,0
2442,Hajime no Ippo: Boxer no Kobushi,0
2443,Hajime no Ippo: Champion Road,0
2444,Hajime no Ippo: Mashiba vs. Kimura,0
2445,Hajime no Ippo: New Challenger,0
2446,Hajime no Ippo: Rising,0
2447,Hakaba Kitarou,3
2448,Hakaima Sadamitsu,3
2449,Hakimono to Kasa no Monogatari,3
2450,Hakkenden: Touhou Hakken Ibun,0
2451,Hakkenden: Touhou Hakken Ibun 2nd Season,0
2452,Hakoiri Shoujo: Virgin Territory,0
2453,Hakubutsushi,3
2454,Hakugei Densetsu,3
2455,Hakujaden,3
2456,Hakuouki,3
2457,Hakuouki Hekketsuroku,3
2458,Hakuouki Hekketsuroku Episode 0,3
2459,Hakuouki Movie 1: Kyoto Ranbu,3
2460,Hakuouki Movie 2: Shikon Soukyuu,3
2461,Hakuouki OVA,3
2462,Hakuouki Reimeiroku,3
2463,Hakuouki Reimeiroku Tokuten Disc,3
2464,Hakuouki Sekkaroku,3
2465,Hakuouki: Otogisoushi,0
2466,Hakushaku to Yousei,3
2467,Hakushaku to Yousei Specials,1
2468,Hakushon Daimaou,1
2469,Hal,0
2470,Hal & Bons,3
2471,Halo Legends,0
2472,Hamatora The Animation,0
2473,Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru Soushuuhen Special,0
2474,Hamelin no Violin Hiki,3
2475,Hamelin no Violin Hiki: The Movie,2
2476,Hametsu no Mars,0
2477,Hana Dorei,3
2478,Hana no Asukagumi! 2: Lonely Cats Battle Royale,1
2479,Hana no Joshi Announcer: Newscaster Etsuko,1
2480,Hana no Kage,1
2481,Hana no Ko Lunlun,3
2482,Hana no Ko Lunlun: Konnichiwa Sakura no Kuni,3
2483,Hana no Mahoutsukai Mary Bell,0
2484,Hana no Mahoutsukai Mary Bell: Phoenix no Kagi,3
2485,Hana to Alice: Satsujin Jiken,3
2486,Hana to Chou,0
2487,Hana to Mogura,3
2488,Hana wa Saku,3
2489,Hana wa Saku: Touhoku ni Saku,3
2490,Hana yori Dango,3
2491,Hana yori Dango (Movie),3
2492,Hanada Shounen-shi,3
2493,Hanamaru Youchien,1
2494,Hanamaru Youchien Special Preview,1
2495,Hanamaru Youchien: Panda Neko Taisou,3
2496,Hanamonogatari,0
2497,Hanaori,3
2498,Hanappe Bazooka,0
2499,Hanare Toride no Yonna,3
2500,Hanasakeru Seishounen,3
2501,Hanasakeru Seishounen Recaps,3
2502,Hanasaku Iroha,0
2503,Hanasaku Iroha: Home Sweet Home,0
2504,Hanaukyou Maid-tai,1
2505,Hanaukyou Maid-tai OVA,1
2506,Hanaukyou Maid-tai: La Verite,1
2507,"Hanayaka Nari, Waga Ichizoku: Kinetograph",3
2508,Hanayamata,0
2509,Hanbun no Tsuki ga Noboru Sora,1
2510,Hand Maid Mai,1
2511,Hand Maid May,1
2512,Hand Maid May Special,1
2513,Handa-kun,0
2514,Handsome Girl,3
2515,Hanoka,1
2516,Hantsu x Trash,0
2517,Haou Taikei Ryuu Knight,1
2518,Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,3
2519,Happiness Charge Precure!,2
2520,Happiness!,1
2521,Happiness!: Watarase Jun no Kareinaru Ichinichi,1
2522,Happy Birthday: Inochi Kagayaku Toki,0
2523,Happy ComeCome,0
2524,Happy Happy Clover,2
2525,Happy Hour,3
2526,Happy Kappy,3
2527,Happy Kappy Recap,3
2528,Happy Seven: The TV Manga,1
2529,Happy Weekend,1
2530,Happy World!,1
2531,Happy☆Lesson,1
2532,Happy☆Lesson (TV),1
2533,Happy☆Lesson: Advance,1
2534,Happy Lesson: Hoka Hoka Kanna to Futari Kiri,1
2535,Happy☆Lesson: The Final,1
2536,Haramasete Seiryuu-kun!,0
2537,Harbor Light Monogatari: Fashion Lala yori,2
2538,Hare Tokidoki Buta (TV),2
2539,Harem Time The Animation,0
2540,Harlock Saga: Nibelung no Yubiwa,3
2541,Harmonie,0
2542,Harmony,0
2543,Haru no Ashioto The Movie: Ourin Dakkan,0
2544,Haru wo Daite Ita,3
2545,HaruChika: Haruta to Chika wa Seishun suru,0
2546,Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,3
2547,Harukanaru Toki no Naka de 3: Kurenai no Tsuki,3
2548,Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,3
2549,Harukanaru Toki no Naka de 3: Owarinaki Unmei,3
2550,Harukanaru Toki no Naka de: Ajisai Yumegatari,3
2551,Harukanaru Toki no Naka de: Hachiyou Shou,3
2552,Harukanaru Toki no Naka de: Hachiyou Shou OVA,1
2553,Harukanaru Toki no Naka de: Hachiyou Shou Specials,3
2554,Harukanaru Toki no Naka de: Maihitoyo,3
2555,Harukoi Otome,1
2556,Hashi no Mukou,0
2557,Hashire Melos!,0
2558,Hashire!,3
2559,Hashire! Shiroi Ookami,3
2560,Hatara Kids Mai Ham Gumi,2
2561,Hataraki Man,3
2562,Hataraku Maou-sama!,0
2563,Hate You,3
2564,Hatenkou Yuugi,3
2565,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,1
2566,Hatsu Inu The Animation,1
2567,Hatsukoi,1
2568,Hatsukoi Limited,1
2569,Hatsukoi Limited: Gentei Shoujo,1
2570,Hatsukoi Monster,0
2571,Hatsumei Boy Kanipan,1
2572,Hatsune Miku x Tetsuya Nomura,0
2573,Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,0
2574,Haunted Junction,3
2575,Hayate no Gotoku!,1
2576,Hayate no Gotoku! Can't Take My Eyes Off You,1
2577,Hayate no Gotoku! Cuties,0
2578,Hayate no Gotoku! Heaven Is a Place on Earth,1
2579,Hayate no Gotoku! OVA,0
2580,Hayate no Gotoku!!,1
2581,Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,1
2582,Heart Realize,0
2583,Heart no Kuni no Alice: Wonderful Wonder World,3
2584,Heartcatch Precure!,3
2585,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?,3
2586,Heartwork: Symphony of Destruction,1
2587,HeatGuy J,3
2588,HeatGuy J Special,3
2589,Heavy Object,0
2590,Heisa Byouin,3
2591,Heisa Byoutou,1
2592,Heisei Harenchi Gakuen,1
2593,Heisei Inu Monogatari Bow,3
2594,Heisei Jogakuen Kagai Lesson,1
2595,Heisei Tanuki Gassen Ponpoko,3
2596,Heisei Tensai Bakabon,2
2597,Hell Target,0
2598,Hello Harinezumi: Satsui no Ryoubun,3
2599,Hello Kitty no Alps no Shoujo Heidi II: Klara to no Deai,3
2600,Hello Kitty no Circus ga Yatte Kita,3
2601,Hello Kitty no Mahou no Ringo,3
2602,Hello Kitty no Minna no Mori wo Mamore!,3
2603,Hello Kitty no Nemureru Mori no Bijo,3
2604,Hello Kitty no Papa Nante Daikirai,3
2605,Hello Kitty no Suteki na Kyoudai,3
2606,Hello Kitty no Tomatta Big Ben,3
2607,Hello Kitty no Yappari Mama ga Suki,3
2608,Hello! Lady Lynn,3
2609,Hello! Sandybell,3
2610,Hello!! Kiniro Mosaic,0
2611,Hells,0
2612,Hellsing,3
2613,Hellsing I: Digest for Freaks,3
2614,Hellsing Ultimate,0
2615,Hellsing: Psalm of Darkness,0
2616,Hellsing: The Dawn,0
2617,Helter Skelter: Hakudaku no Mura,0
2618,Hen,1
2619,HenSemi,0
2620,HenSemi (TV),0
2621,Henna ABC,3
2622,Henshin Gattai! 5 tsu no Atsuki Tamashii,3
2623,Hentai Ouji to Warawanai Neko.,1
2624,Hentai Ouji to Warawanai Neko.: Henneko BBS,0
2625,Heppoko Jikken Animation Excel Saga,3
2626,Hero Bank,0
2627,Heroic Age,0
2628,Heroman,0
2629,Heroman Specials,0
2630,Hetalia Axis Powers,3
2631,Hetalia Axis Powers Fan Disc,3
2632,"Hetalia Axis Powers Movie: Paint it, White",3
2633,Hetalia World Series,3
2634,Hetalia World Series Specials,3
2635,Hetalia: The Beautiful World,3
2636,Hetalia: The Beautiful World Extra Disc,3
2637,Hetalia: The Beautiful World Specials,0
2638,Hetalia: The World Twinkle,0
2639,Hetalia: The World Twinkle Extra Disc,0
2640,Hetalia: The World Twinkle Specials,0
2641,Hey! Bumboo,3
2642,Hi no Ame ga Furu,0
2643,Hi no Tori,3
2644,Hi no Tori 2772: Ai no CosmoZone,3
2645,Hi no Tori: Houou-hen,3
2646,Hi no Tori: Uchuu-hen,3
2647,Hi no Tori: Yamato-hen,3
2648,Hi no Youjin,3
2649,Hi.Me.Go.To,1
2650,Hiatari Ryoukou!,1
2651,Hibike! Euphonium,0
2652,Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,0
2653,Hibike! Euphonium: Kakedasu Monaka,0
2654,Hibike! Euphonium: Suisougaku-bu no Nichijou,0
2655,Hidamari Sketch,3
2656,Hidamari Sketch Recap,1
2657,Hidamari Sketch Specials,3
2658,Hidamari Sketch x 365,3
2659,Hidamari Sketch x 365 Recap,1
2660,Hidamari Sketch x 365 Specials,3
2661,Hidamari Sketch x Honeycomb,0
2662,Hidamari Sketch x SP,3
2663,Hidamari Sketch x ☆☆☆,3
2664,Hidamari Sketch x ☆☆☆ Recap,1
2665,Hidamari Sketch x ☆☆☆ Specials,3
2666,Hidamari Sketch: Chou Hidamatsuri Special,3
2667,Hidamari Sketch: Sae Hiro Sotsugyou-hen,0
2668,Hidamari no Ki,2
2669,Hidan no Aria,1
2670,Hidan no Aria AA,0
2671,Hidan no Aria Special,1
2672,Higashi no Eden,0
2673,Higashi no Eden Movie I: The King of Eden,0
2674,Higashi no Eden Movie II: Paradise Lost,0
2675,Higashi no Eden Soushuuhen: Air Communication,0
2676,Higashi no Eden: Falling Down,3
2677,Higepiyo,3
2678,High School DxD,0
2679,High School DxD BorN,0
2680,High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,0
2681,High School DxD BorN: Yomigaeranai Fushichou,0
2682,High School DxD New,0
2683,"High School DxD New: Oppai, Tsutsumimasu!",0
2684,High School DxD OVA,0
2685,High School DxD Specials,1
2686,High School Fleet,0
2687,High School! Kimengumi,3
2688,High Score,3
2689,Highlander: The Search for Vengeance,3
2690,Highschool of the Dead,0
2691,Highschool of the Dead: Drifters of the Dead,1
2692,High☆Speed!: Free! Starting Days,0
2693,Higurashi no Naku Koro ni,1
2694,Higurashi no Naku Koro ni Kai,1
2695,Higurashi no Naku Koro ni Kai Specials,1
2696,Higurashi no Naku Koro ni Kaku: Outbreak,0
2697,Higurashi no Naku Koro ni Kira,0
2698,Higurashi no Naku Koro ni Rei,1
